League,Season,Last Name,First Name,Age,City,Country,Team Name,Position,Player Number,Number Of Appearances,Game Time,Number of Sub-ins,Number of Sub-outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Dribbles Past,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red Cards,Total YellowRed Cards,Number of Penalties Won,Number of Penalties Committed,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved
Ligue 2,2022,Mwanga,Junior,21.0,Lyon,France,Bordeaux,Defender,,33.0,2276.0,7.0,6.0,10.0,9.0,1.0,0.0,1.0,0.0,,1490.0,12.0,40.0,58.0,10.0,25.0,283.0,167.0,65.0,42.0,,31.0,27.0,1.0,1.0,0.0,,,0.0,0.0,
Ligue 2,2022,Kashi,Ahmed,36.0,Aubervilliers,France,Annecy,Midfielder,,31.0,2622.0,0.0,5.0,0.0,19.0,4.0,2.0,1.0,0.0,,1464.0,16.0,39.0,69.0,5.0,32.0,238.0,124.0,11.0,5.0,,17.0,46.0,11.0,0.0,2.0,,,0.0,0.0,
Ligue 2,2022,Demoncy,Yohan,28.0,Gonesse,France,Annecy,Midfielder,,27.0,2056.0,2.0,13.0,2.0,7.0,2.0,0.0,7.0,0.0,,1122.0,48.0,32.0,31.0,1.0,18.0,193.0,73.0,24.0,10.0,,18.0,33.0,6.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Demoncy,Yohan,28.0,Gonesse,France,Paris FC,Midfielder,,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,7.0,0.0,,1122.0,48.0,32.0,31.0,1.0,18.0,193.0,73.0,24.0,10.0,,18.0,33.0,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Michel,Mathieu,33.0,Nîmes,France,Niort,Goalkeeper,,33.0,2970.0,0.0,0.0,0.0,,,0.0,,56.0,111.0,1004.0,1.0,19.0,1.0,,1.0,18.0,14.0,,,,4.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Ligue 2,2022,Mouanga,Kévin,24.0,,France,Annecy,Defender,,30.0,2485.0,3.0,0.0,5.0,11.0,4.0,3.0,,0.0,,1058.0,5.0,28.0,39.0,15.0,51.0,230.0,138.0,20.0,15.0,,8.0,29.0,7.0,0.0,1.0,,,0.0,0.0,
Ligue 2,2022,Pajot,Vincent,34.0,Domont,France,Annecy,Midfielder,,31.0,2660.0,0.0,5.0,0.0,15.0,7.0,2.0,2.0,0.0,,870.0,13.0,21.0,82.0,12.0,36.0,317.0,156.0,17.0,8.0,,34.0,65.0,11.0,0.0,1.0,,,0.0,0.0,
Ligue 2,2022,Testud,Kévin,32.0,Montélimar,France,Annecy,Attacker,,37.0,2137.0,15.0,14.0,15.0,19.0,8.0,2.0,4.0,0.0,,545.0,21.0,8.0,65.0,3.0,22.0,500.0,248.0,86.0,41.0,,63.0,31.0,1.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Jean,Gaby,24.0,Mâcon,France,Annecy,Defender,,37.0,3219.0,1.0,1.0,2.0,10.0,2.0,0.0,,0.0,,1769.0,7.0,34.0,53.0,12.0,39.0,341.0,206.0,29.0,16.0,,24.0,24.0,2.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Gonçalvés,Jonathan,35.0,Annecy,France,Annecy,Defender,,6.0,77.0,6.0,0.0,22.0,,,0.0,,0.0,,32.0,,3.0,3.0,,2.0,22.0,6.0,2.0,1.0,,1.0,8.0,1.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Spano Rahou,Romain,30.0,Aubagne,France,Annecy,Attacker,,3.0,69.0,3.0,0.0,3.0,7.0,3.0,1.0,2.0,0.0,,32.0,4.0,8.0,1.0,,,8.0,3.0,,,,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Bosetti,Alexy,31.0,Nice,France,Annecy,Attacker,,36.0,1603.0,18.0,19.0,18.0,28.0,14.0,5.0,1.0,0.0,,510.0,16.0,8.0,8.0,,2.0,134.0,48.0,9.0,2.0,,32.0,15.0,1.0,0.0,0.0,,,1.0,1.0,
Ligue 2,2022,Djoco,Kapitbafan,29.0,,France,Bastia,Attacker,,20.0,1333.0,6.0,8.0,6.0,23.0,10.0,4.0,,0.0,,286.0,22.0,10.0,20.0,,6.0,222.0,71.0,39.0,18.0,,17.0,44.0,2.0,0.0,0.0,,,0.0,0.0,
